Filename QSA_C QSA_T QSB_C QSB_T QSC_C QSC_T QSD_C QSD_T NMS_C NMS_T
asc10K 9998 02.858408 9998 02.722713 9998 03.024345 9998 03.397708 10002 00.002988 
asc1K 998 00.032894 998 00.030892 998 00.029929 998 00.030919 1002 00 
asc20K 19998 11.344640 19998 11.459953 19998 11.203604 19998 11.333446 20002 00.005946 
asc2K 1998 00.123670 1998 00.135638 1998 00.116688 1998 00.119654 2002 00 
asc50 48 00 0 00 0 00 48 00 52 00 
asc500 498 00.007977 498 00.007979 498 00.008976 498 00.009972 502 00 
asc5K 4998 00.694107 4998 00.813298 4998 00.744942 4998 00.762959 5002 00.002027 
dup10K 80214 00.024933 10061 02.791464 10061 02.510711 10061 02.620376 10002 00.002993 
dup1K 5938 00.001995 1000 00.024936 1000 00.026893 1000 00.024971 1002 00 
dup20K 178846 00.053859 20128 10.208178 20128 10.130301 20128 10.435161 20002 00.008975 
dup2K 15955 00.006973 2002 00.116687 2002 00.104719 2002 00.153597 2002 00.000996 
dup500 2357 00.000998 498 00.009938 498 00.012964 498 00.010981 502 00 
dup5K 45361 00.022936 5026 00.842366 5026 00.737555 5026 00.659231 5002 00.001995 
ran10K 79147 00.026927 9998 03.046796 9998 02.984466 9998 02.953731 10002 00.002959 
ran1K 6166 00.002030 998 00.027891 998 00.028958 998 00.027917 1002 00 
ran20K 211110 00.065824 19998 11.930364 19998 12.028827 19998 12.103772 20002 00.011969 
ran2K 12227 00.010003 1998 00.159605 1998 00.127373 1998 00.129653 2002 00.000998 
ran50 177 00 0 00 0 00 48 00.000995 52 00 
ran500 2481 00.000995 500 00.008016 500 00.007975 500 00.008975 502 00 
ran5K 39164 00.014960 5333 00.900371 5333 00.761629 5334 00.608746 5002 00.000963 
rev10K 25009998 07.258756 9998 02.994791 9998 02.923035 9998 02.855317 10002 00.001994 
rev1K 250998 00.063862 998 00.026962 998 00.027890 998 00.026961 1002 00.000964 
rev20K 100019998 28.447582 19998 12.410255 19998 11.466897 19998 11.961721 20002 00.005984 
rev2K 1001998 00.265291 1998 00.116659 1998 00.116688 1998 00.116656 2002 00.000997 
rev50 673 00 0 00 0 00 48 00 52 00 
rev500 62998 00.014959 498 00.007978 498 00.007978 498 00.007978 502 00 
rev5K 6254998 01.783025 4998 00.800859 4998 00.690310 4998 00.733035 5002 00.000964 
